state_name,county_name,city_name,level,date,link,type,type_name
Minnesota,,,state,2020-03-27,https://www.leg.state.mn.us/archive/execorders/20-20.pdf,2,Directing Minnesotans to Stay at Home
Mississippi,,,state,2020-03-14,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1458.pdf,1,State of Emergency
Mississippi,,,state,2020-04-03,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1466.pdf,2,Shelter in Place
Missouri,,,state,2020-03-13,https://www.sos.mo.gov/library/reference/orders/2020/eo2,1,State of Emergency
Missouri,,,state,2020-04-06,https://governor.mo.gov/press-releases/archive/governor-parson-issues-statewide-stay-home-missouri-order-control-contain,2,Stay Home Missouri
Montana,,,state,2020-03-12,https://governor.mt.gov/Portals/16/docs/2020EOs/EO-02-2020_COVID-19%20Emergency%20Declaration.pdf,1,State of Emergency
Montana,,,state,2020-03-28,https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177,2,Stay at Home
Montana,,,state,,https://covid19.mt.gov/Portals/223/Documents/Reopening%20Montana%20Phased%20Approach.pdf?ver=2020-04-22-115707-770,5,Reopening the Big Sky
Nebraska,,,state,2020-03-13,https://www.dropbox.com/s/4x63lqrl2i36rgw/2020%20Executive%20Order%20No.%2020-01%20.pdf?dl=0,1,State of Emergency
Nebraska,,,state,2020-04-30,https://www.dropbox.com/s/mkgl9ho03rjhnsc/2020%2021%20Days%20to%20Stay%20Home%20and%20Stay%20Health%20.pdf?dl=0,2.5,21 Days to Stay Home and Stay Healthy
Nevada,,,state,2020-03-12,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-12_-_COVID-19_Declaration_of_Emergency/,1,Declaration of Emergency
Nevada,,,state,2020-04-01,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-31_-_COVID-19_Declaration_of_Emergency_Directive_010_-_Stay_at_Home_Order/,2,Stay At Home
New Hampshire,,,state,2020-03-13,https://www.governor.nh.gov/news-media/orders-2020/documents/2020-04.pdf,1,State of Emergency
New Hampshire,,,state,2020-03-27,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-17-1.pdf,2,Stay At Home
New Jersey,,,state,2020-03-09,https://nj.gov/infobank/eo/056murphy/pdf/EO-103.pdf,1,Public Health Emergency/State of Emergency
New Jersey,,,state,2020-03-21,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,2,EXECUTIVE ORDER NO. 107
New Mexico,,,state,2020-03-11,https://www.governor.state.nm.us/wp-content/uploads/2020/03/Executive-Order-2020-004.pdf,1,Public Health Emergency/State of Emergency
New Mexico,,,state,2020-03-23,https://www.governor.state.nm.us/wp-content/uploads/2020/03/COVID-19-DOH-Order-fv.pdf,2,Public Health Emergency
New York,,,state,2020-03-07,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.pdf,1,State Disaster Emergency
New York,,,state,2020-03-22,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.8.pdf,2,New York State on PAUSE
North Carolina,,,state,2020-03-10,https://files.nc.gov/governor/documents/files/EO116-SOE-COVID-19.pdf,1,State of Emergency
North Carolina,,,state,2020-03-30,https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf,2,Stay at Home
North Dakota,,,state,2020-03-13,https://www.governor.nd.gov/sites/www/files/documents/EO%202020-03.pdf,1,State of Emergency
North Dakota,,,state,,,2,
North Dakota,,,state,,,3,
Northern Mariana Islands,,,state,2020-01-29,https://www.fmcsa.dot.gov/emergency/commonwealth-northern-maraiana-islands-emergency-declaration-order-2020-04,1,State of Significant Emergency
Northern Mariana Islands,,,state,,,2,
Northern Mariana Islands,,,state,,,3,
Ohio,,,state,2020-03-09,https://governor.ohio.gov/wps/portal/gov/governor/media/executive-orders/executive-order-2020-01-d,1,State of Emergency
Ohio,,,state,2020-03-23,https://coronavirus.ohio.gov/static/DirectorsOrderStayAtHome.pdf,2,Stay at Home
Oklahoma,,,state,2020-03-15,https://www.sos.ok.gov/documents/executive/1913.pdf,1,Emergency
Oklahoma,,,state,2020-03-24,https://www.governor.ok.gov/articles/press_releases/governor-stitt-announces-latest-covid-19-actions,2.5,Safer at Home
Oklahoma,,Claremore,city,2020-04-06,https://www.claremorecity.com/DocumentCenter/View/4999/Emergency-Management-Order-3,2,Stay at Home
Oklahoma,,Edmond,city,2020-03-30,http://edmondok.com/1568/COVID-19-Coronavirus-Information,2,Shelter in Place
Oklahoma,,Moore,city,2020-04-04,https://www.cityofmoore.com/uploads/Parks/EMERGENCY-PROCLAMATION-00382020.pdf,2,Shelter in Place
Oklahoma,,Norman,city,2020-03-25,http://www.normanok.gov/ln/stay-home-order-issued-mayor-clark-flatten-curve,2,Stay at Home
